Content,ID,Timestamp,Length,LengthPalabras,Autor
@ddlovato @David_Henrie ummmmm i cant find it. ,1467929230,2009-04-06 22:51:34,47,7,toritor11
@ddlovato Do you hate us?? Please don't ,1467953367,2009-04-06 22:58:30,40,7,lovatolover
@ddlovato Wish that i could see it..  Thats the downside of living in Sweden.. Good Luck anyway ,1469661950,2009-04-07 07:02:58,96,17,mariapersson
"@ddlovato hey demi, wen are you and selena gonna do another video? i miss them ",1469674492,2009-04-07 07:05:11,79,15,xxBEJEALOUSxx
@ddlovato ahhhh i wish i could go to the dallas show...but i wont be near there then ,1548280868,2009-04-17 20:31:31,85,17,Julie_Dances
@ddlovato I just saw your tour dates and now I am sad..You come to houston two days before I get home from vacation ,1548773731,2009-04-17 21:56:12,116,23,Brea_C
"@ddlovato sonny with a chance in the UK, only 6 more days. I can't wait, but I'll miss it. I'm at the McFly concert  hmm .. I'll record it",1551831910,2009-04-18 10:05:14,138,29,mileyworld
@ddlovato demii!! how is your stage going to be?? i dont know what kind of seats to look for when i buy them on tuesdayy ,1552024212,2009-04-18 10:35:16,121,25,briana10192
"@ddlovato hi demi, at which airport in Germany were you? If you were in Munich I missed you by like a day  if you'd answer that'll be grea",1553173354,2009-04-18 13:33:51,138,28,AlenaVogt
@ddlovato awww. why. omg i really wana c ure new show but it is not out here ,1553237653,2009-04-18 13:44:01,77,17,ashgrovegirl
@ddlovato HEY DEMI WHY DO YOU NOT COME TO AUSTRIA??? ,1553241890,2009-04-18 13:44:43,53,10,bennymareich
"@ddlovato WHYY??!! IS NOT MY FAULT!, MY PARENTS ARE BUSY FOR 1TH TIME!  I FEEL UPSET... (( (u)",1553242505,2009-04-18 13:44:49,94,18,Sofiaajaramillo
"@ddlovato Hi,How long are you in London? I have uni lectures during your show on Wednesday ",1553273877,2009-04-18 13:49:52,91,16,beckyggxoxo
@ddlovato do u even get to know me messages? ,1553299270,2009-04-18 13:53:52,45,9,nUn0
@ddlovato we'll miss you toooooooo  xoxo,1553299772,2009-04-18 13:53:57,40,6,shaunarawrr_x
@ddlovato HEY DEMI WHY DO YOU NOT COME TO AUSTRIA???  AND YEAH I WISH YOU A GOOD FLIGHT ,1553300244,2009-04-18 13:54:01,88,18,bennymareich
@ddlovato HEY DEMI WHY DO YOU NOT COME TO AUSTRIA???  AND YEAH I WISH YOU A GOOD FLIGHT ,1553302256,2009-04-18 13:54:19,88,18,bennymareich
@ddlovato Ilove ou demi you are great ,1553701121,2009-04-18 14:58:48,38,7,itsmrth
@ddlovato i wish you would reply to mee... ,1553884927,2009-04-18 15:28:39,43,8,xoxomorgann
@ddlovato Wish you were coming to Toronto. ,1556627732,2009-04-18 23:37:32,43,7,rheaaa
@ddlovato i wish i could see your concert. ,1556679130,2009-04-18 23:50:45,43,8,chavezPA
@ddlovato I FRUCKIN' LUV U!!!!! &lt;3333   UR SO FUNNY ON UR SHOW!! xD i wish i can meet u in person !! ,1557068390,2009-04-19 01:50:13,104,22,mileyrockzz
"@ddlovato Your in germany? i am too,baumholder.  i never seen a celebrity in concert .'cept Lil Jon.",1557146911,2009-04-19 02:16:55,100,17,Ninja_Janie
@ddlovato. Why do you hate me?  Lol,1557268969,2009-04-19 03:02:34,35,7,brunoleandrooo
@naomilovesyou you're not the only one who thinks @ddlovato should come to belgium ,1557291180,2009-04-19 03:11:10,83,13,Gillpones
@kthxx ROFLLL isn't he dead? he might talk back. @ddlovato won't  demi I love you. lolll,1557340733,2009-04-19 03:30:30,88,16,ttaasshhaa
"@ddlovato I'm so angry that i cant come to youre concert, Demi!!!! ",1557380492,2009-04-19 03:45:37,67,12,Rlundh
@ddlovato can't wait to travel  ,1557457247,2009-04-19 04:13:59,32,5,freshmischief
@ddlovato I know how you feel... From america to europe is a nightmare!! ,1557476717,2009-04-19 04:20:58,73,13,Giada_
@ddlovato Are you in Madrid now? OMG! haha you are so tired  go to sleep and have fun in Spain!,1557520560,2009-04-19 04:36:36,95,20,ainhoa_
@ddlovato         Iï¿½m sad you was in Germany and i couldnï¿½t see you...,1557521038,2009-04-19 04:36:48,74,12,MeltemKar
