Content,ID,Timestamp,Length,LengthPalabras,Autor
@mileycyrus hahaha dont be like that one time in NY when you got 30 mins of sleep then got sick  love you!!,1468063101,2009-04-06 23:30:57,107,22,kristenn_lynn
"@mileycyrus i have the same problem, but it's 4:43 here... let's see if counting works..1234...56 57 58... 132 133 134... no z's for me! ",1468286517,2009-04-07 00:45:20,137,24,nathiuria
@mileycyrus I guess counting sheep didn't work  Hope you get some sleep!,1468297110,2009-04-07 00:49:07,72,12,amyamoore
@mileycyrus I would too if it meant spending a day in heaven w/my mom and getting to see her again. ,1468298918,2009-04-07 00:49:44,100,20,xdokkenx
@mileycyrus AWWW u seriously have the cutest dog Miley! Sorry your not with her now  Hope u get some sleep! xoxo,1468318249,2009-04-07 00:56:41,112,21,XFearLessX
@mileycyrus http://twitpic.com/2xszg - Napping? At this point you may need a few of those. GMA is gonna come early. ,1468333186,2009-04-07 01:01:52,116,19,Muric2024
"@mileycyrus where did you find that quote... no, donï¿½t answer, better sleep! xoxo from Germany (where itï¿½s already morning  )",1468340955,2009-04-07 01:04:40,129,20,MonaColonia
@mileycyrus http://twitpic.com/2y606 - I want a Sofie!  She's helllza cute.,1468382935,2009-04-07 01:19:59,75,10,zeKok
@mileycyrus ouch mine too ,1468689241,2009-04-07 03:10:51,26,4,Monica992
"@mileycyrus dude, I have to go on a 4 mile run in cold ass Boston after waking up just now. This sucks ",1468764264,2009-04-07 03:36:33,103,22,killercalione
@mileycyrus aww I feel u u just woke up for school  hopefully I'll meet u today hah &lt;3,1468782447,2009-04-07 03:42:30,89,18,taralovesu
@mileycyrus awe I feel u i just woke up for school  hopefully we both have a better rest of the day.. &amp; I hope that includes meeting u lol,1468786597,2009-04-07 03:43:51,142,29,taralovesu
@mileycyrus wow early start. I havent even been to bed yet. Hope your tummy feel better soon  love your aussie fan ;) xxx,1468794164,2009-04-07 03:46:12,121,23,JacquiOx
@mileycyrus how come you never reply to me? ,1468832668,2009-04-07 03:58:18,44,8,SooYong
@mileycyrus Aww  Chin up hun! You can do it ,1468895003,2009-04-07 04:17:10,44,9,nicole___
@mileycyrus god we have a blizzard here ,1468898678,2009-04-07 04:18:18,40,7,monikalovesuu93
@mileycyrus GOOD LUCK! i wish i could be thereee ,1468916524,2009-04-07 04:23:33,49,9,joellerush
@mileycyrus goood luck today @ G M A .... No one would take me  I love you!!!!! We are in the same state,1468925029,2009-04-07 04:26:00,104,23,alexazuckerx
@mileycyrus school ugh me too ,1469495372,2009-04-07 06:33:20,30,5,taralovesu
