Content,ID,Timestamp,Length,LengthPalabras,Autor
@tommcfly hey saw u guys play @ pushover..didn't get 2 meet u tho cuz of th HUGE line  i was very upset ='( lol..a msg would make up 4 it!,1468210813,2009-04-07 00:19:09,138,30,mcsteph94
@tommcfly Good morning Tom! Why can't I send you a message? This is too short for the question I have  Well to bad for me I guess..,1468233211,2009-04-07 00:26:52,131,27,mcflyholland
@tommcfly did you know that johnsons baby use animals like cute bunnies to test their products? ,1468391638,2009-04-07 01:23:07,96,16,ckstarlet
"@dougiemcfly @tommcfly good morning guys, how are you all? You know, it's frustrating, I never get a reply  ",1468502040,2009-04-07 02:03:41,108,18,McFLYBelgium
"@tommcfly hey, no chance of adding brighton or eastbourne to the UCAP tour? gutted im missing out this time round  i love you guys!",1468618787,2009-04-07 02:46:02,131,24,lilmissvik
"@tommcfly have fun tom, i need to buy eclipse too but i have no money. sad timess ",1468674970,2009-04-07 03:05:49,82,17,poyntersstargal
@tommcfly are you coming to play at Plymouth again this year cus i cant go to the ucap tour cus you arent coming anywhere near me  oxo,1468945705,2009-04-07 04:31:47,134,27,Leaaaaaa
@tommcfly :O starbucks! never tehe oooh now i want one ,1469438932,2009-04-07 06:23:07,55,10,tash_x_
@tommcfly aw i want a starbucks ,1469466152,2009-04-07 06:28:08,32,6,melliejellie
@tommcfly i have to still read eclipse as well! don't watch twilight the movie though if you want to keep liking the books. movie's bad ,1470070258,2009-04-07 08:15:31,136,25,omfgitsvera
@tommcfly http://twitpic.com/3iquy - i miss your old hairstyle daniel  but you still look great,1550756646,2009-04-18 07:10:30,95,14,brendafreitas
@tommcfly hoping you love amsterdam! enjoy your sunbathing? lol its cloudy over here in america ,1551392511,2009-04-18 08:56:22,96,15,brittanytastic
@tommcfly I wish i'd be there with you guys ,1551586698,2009-04-18 09:26:57,44,9,mutlipraktik
@tommcfly awww  when are you coming back? because are you going to the star trek premier? xx,1551745459,2009-04-18 09:51:55,92,17,lainahh_lewis
"@tommcfly i feel sad, i couldn't travel to see you guys in Amsterdam!  can you come to Norway soon?",1551773189,2009-04-18 09:56:15,99,19,peoplefight
@tommcfly awww ive been trying to get you  played on the radio and they  not playing u ,1551773481,2009-04-18 09:56:17,87,17,WooopJess
@tommcfly you know you love brazil more than anyone country  *I'm jealous* Love you,1553074976,2009-04-18 13:18:25,83,14,liviasf
@tommcfly I hope you'll come to Germany one day... I really would like to see you guys live one day! ,1553109894,2009-04-18 13:23:56,101,20,MrsDesrosiers
@tommcfly Are you ever gonna come to Sweden?!  x,1553114498,2009-04-18 13:24:39,48,9,Chasingabuzz
"@tommcfly Hey, Tommy!! How was the concert here in Amsterdam? I wish I could be there! but I couldn't  ..... srry for that! Love you xoxo",1553171840,2009-04-18 13:33:39,137,26,Gilly77
"@tommcfly anyway, i take it your comin home tomorrow? the weathers been rubbish today, well in newcastle anyway ",1553390858,2009-04-18 14:08:23,112,18,lucy1993
"@tommcfly why didn't you twitter during the gig, tom? im upset  ;)",1553516215,2009-04-18 14:28:42,66,12,piaarayna
@tommcfly If only there were no time zones....i only start getting your morning tweets as i go to bed...  Solution: move to the US ;),1556378783,2009-04-18 22:36:34,133,25,anniehall33
"@tommcfly baby, upppppp earlyyyyyy a lotttttt. :O give me your breakfast? ",1556381047,2009-04-18 22:37:05,74,11,dri__
"@tommcfly hey tom, hope you guys have a great tour, i live in australia so i cant go  ",1556483220,2009-04-18 23:00:47,86,18,McflyGal
"@tommcfly http://twitpic.com/3kygb - uuuh that seems much more delicious that my poor coffee  It's like 4 am here, I didn't even go t ...",1556742603,2009-04-19 00:07:57,137,24,Luu_gon
@tommcfly ive never been on a plane.  so sorry no. how many times have you been on a plane?,1556844861,2009-04-19 00:37:50,91,19,aussiemcflyfan
@tommcfly i always set the alarm off. ALWAYS. ,1556854553,2009-04-19 00:40:46,46,8,_amberlovely
@tommcfly nah. had my sweets taken away though. my poor ears hurt like hell the whole flight. ,1556854992,2009-04-19 00:40:53,94,17,raihanamcfly
@tommcfly  TOM!!!! you're a pilot??? since when..u still didn't show us your ray-bans!! ,1556868542,2009-04-19 00:45:02,88,13,iheartuteddie
@tommcfly I wish that I could tweet from England. ,1556943093,2009-04-19 01:08:29,50,9,lex4well
@tommcfly no i haven't  hey but you guys are back in England!!! Welll it was super great last night!! Can't wait for the next gig!,1556976952,2009-04-19 01:19:52,130,25,Joorrie
"@tommcfly Yes!!!!! It always beeps, and then I get even more nervous and embarrassed. It's the braces ",1557033069,2009-04-19 01:38:23,102,17,Sarax_x
@tommcfly haha poor you coming from nice warm weather to rubbish cold one ,1557035339,2009-04-19 01:39:10,74,13,Bessiebear789
@tommcfly well ive never even been on a plane before ,1557074066,2009-04-19 01:52:08,53,10,caitlynmcfly
"@tommcfly excuse me, I'm very disappointed that Amsterdam got Down Goes Another One and Sydney didn't!!!    ",1557210460,2009-04-19 02:40:20,108,16,JanaAlyssa
@tommcfly heeey! Will you please do a Ucap Tour in Ireland? We only see you once a year &amp; that sucks  please tweet back! &amp; make my day! xx,1557356307,2009-04-19 03:36:23,146,29,DubarryMcfly
@tommcfly My mum cba to make 1 for me   X,1557407101,2009-04-19 03:55:43,41,10,chelsiebabez
"@tommcfly mmm Tasty, you'r making me hungry now ",1557419277,2009-04-19 04:00:10,48,8,SashaH359
"@tommcfly eh, are yous cooming back to oz sooon? cus i didnt get to see yous play last time cus i was grounded.        plss come back =] x",1557429067,2009-04-19 04:03:34,138,28,JessicaRianna
@tommcfly i just had dinner  so full had stickii date pudding for pudding hahaha XD,1557454389,2009-04-19 04:12:54,83,15,MaZa11LuVzYaH
"@tommcfly http://twitpic.com/3l9e5 -  we don't have starbucks here! i was there only last year whaen i was in london, and i invited a ...",1557563696,2009-04-19 04:51:38,137,24,Adi1995
@tommcfly Hi guys! u were rocking that stage yesterday @ A'dam! but we waited for 2 hours after it but u were gone  when's ur next visit?,1557569557,2009-04-19 04:53:39,137,27,annedraijer
owch my leg hurts cut it whalst shaving  want starbucks   nowcause of @tommcfly grrrr,1557614361,2009-04-19 05:07:55,85,14,lauralou991
@tommcfly i missed it last night  is it good ? and is it on the tv atm ?,1557999708,2009-04-19 06:53:38,72,18,elliieeeee
"@tommcfly omg, you came out of the hotel! we thought it was too far away, but it was soo close  well, we'll see you in 11 days anyway! x",1558047154,2009-04-19 07:04:10,136,29,CherGUMMIBEAR
@tommcfly did you cry when that wee boy sang the michael jackson song? I did  haha,1558062140,2009-04-19 07:07:28,82,16,lizamillen
@tommcfly  well i cant watch britain's got talent..cos im in mexico  haha but i dont cry with america's got talent..and im a girl!!   ha,1558088785,2009-04-19 07:13:18,136,24,aliciiajones_jk
@tommcfly why arent you coming to Nottingham ! ,1558088999,2009-04-19 07:13:21,47,8,Lauraaar
@tommcfly love your glasses! are they wayfarers? I had a few pairs but had to sell ,1558133433,2009-04-19 07:22:51,83,16,samdelivett
"@tommcfly http://twitpic.com/3l9e5 - my sunglasses were EXACTLY like yours, but my mother broke it. ",1558141589,2009-04-19 07:24:35,100,14,kitchentiles
@tommcfly you've made me want a starbucks frappuccino  that's just cruel,1558191850,2009-04-19 07:34:55,72,11,kirstyxo
@tommcfly where r u Tom!!!  miss u!,1558583124,2009-04-19 08:48:52,35,7,tzlillovemcfly
"@tommcfly are u going to add more dates in south america?  i can't believe that u are just going to argentina, brazil and mexico ",1558852444,2009-04-19 09:34:53,129,24,franhr
@tommcfly i saw that last night!! than belly dancer man was so funny lol! i'm losing followers ,1558966929,2009-04-19 09:53:54,95,17,LauraHogan2
@tommcfly hahaha aww poor gi! take me take me! i want to gooooooooooooooo! ,1559541595,2009-04-19 11:24:44,75,13,fletchxx
@tommcfly please come to south wales in your tour or near to us. please ,1559542778,2009-04-19 11:24:56,72,14,hannah106
"@tommcfly did you see the german flag in the crowd at amsterdam? pleeease come to germany anytime soon, PLEASE ",1559771128,2009-04-19 12:00:28,111,19,abcdefghijaz
@tommcfly Back to the future!!  And have a great tour! Shame I can't come see you. ,1563849293,2009-04-20 00:32:53,83,16,Hujamajahaja
"@tommcfly Are you comming back to Amsterdam this year? I loved the gig soo much! Made awesome pics! Not from you, you were to far away!  X",1563851477,2009-04-20 00:33:30,138,27,Carmnx
"@tommcfly Break a leg on tour!! ^^ I'm sure,it'll be incredible!! I would love see you so much in this tour  ...",1563882796,2009-04-20 00:42:19,112,22,CloeBancroft
@tommcfly have a good time on tour. Wish I was coming to see you but I live in Wales  xx,1564006896,2009-04-20 01:17:59,88,20,McFfino
"@tommcfly hahaha i wish i was in England, Tom ",1564198402,2009-04-20 02:16:44,46,9,mcflyfanatic89
@tommcfly heya . .aww so sad ur not cumin 2 ireland  im just home from skul . . .went home sick on 1st day bk haha ahh well GOOD LUCK xOxO,1564251553,2009-04-20 02:33:17,138,31,xoxsusannexoX
@tommcfly you should do a european tour i would defo go to that! I was going to fly to UK for this one but had my exams the same time ,1564252212,2009-04-20 02:33:29,134,30,Jen_Harris
