palabra,frecuencia,usuario,posicion
miley,599,@mileycyrus,1
love,361,@mileycyrus,2
vote,277,@mileycyrus,3
good,176,@mileycyrus,4
hey,175,@mileycyrus,5
come,170,@mileycyrus,6
hope,148,@mileycyrus,7
please,116,@mileycyrus,8
luck,105,@mileycyrus,9
best,99,@mileycyrus,10
tom,572,@tommcfly,1
hey,154,@tommcfly,2
please,153,@tommcfly,3
good,141,@tommcfly,4
love,139,@tommcfly,5
come,134,@tommcfly,6
miss,103,@tommcfly,7
think,100,@tommcfly,8
reply,98,@tommcfly,9
guy,95,@tommcfly,10
demi,424,@ddlovato,1
love,257,@ddlovato,2
wish,170,@ddlovato,3
come,121,@ddlovato,4
hey,120,@ddlovato,5
please,109,@ddlovato,6
hope,103,@ddlovato,7
wait,99,@ddlovato,8
see,97,@ddlovato,9
awesome,90,@ddlovato,10
